msno,total_transactions,total_actual_paid,mean_actual_paid,mean_plan_days,total_cancellations,latest_auto_renew,latest_payment_method,average_under_overpayment,city,bd,registered_via,reg_year,reg_month,reg_day,account_age_days,num_100,num_unq,total_secs,total_active_days,skip_ratio,loop_ratio,secs_per_active_day,days_since_last_transaction,days_until_expiration,gender_male,gender_unknown,is_churn
tdeO5IlMQ0vjvb/EAV2xcE/Gmvl0sh6mFDuuCCTvasg=,8,792,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,8.0,9.0,264.0,38.0,21.63634396696003,15318.730060577393,11.0,0.8197969335076921,1.7563033059094988,1392.610557679256,53,-22,0,1,0
5KMT9kSXu+jga6rd4FApxIJcrBMK8r3hHqqvC/iHzcw=,8,792,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2013.0,9.0,28.0,1310.0,0.0,0.9999900000999988,188.7539978027344,1.0,0.999998000004,0.0,188.7521102816316,57,-26,0,1,0
+YwYsYKnA2/amMAQ//CaAvSxd8N4j5otK6iDvQLSmEM=,17,1683,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2014.0,7.0,16.0,1082.0,4594.0,21.229681228633176,1541897.1993789673,243.0,0.2453183517728015,216.86804528299223,6247.363311328739,30,0,0,1,0
QS8zAH2Y9E0OEie11ukjg/D93g3f+NDxhFQeUwUU76c=,10,1490,149.0,30.0,1,1,39,0.0,13.0,26.0,9.0,2010.0,9.0,9.0,2425.0,1995.0,22.059699846291057,726948.2515349388,134.0,0.3236582685551525,90.43636629406636,5424.986546903532,69,-43,0,0,1
x5+AtzOZKAtnAJBsCIdAyiRl+1p9nIvAYchIkS4zaS4=,14,2831,202.2142857142857,41.785714285714285,0,1,27,0.0,22.0,31.0,9.0,2015.0,2.0,2.0,818.0,18168.0,39.831168092186125,5873003.735384166,539.0,0.2035100667554393,456.1250977300143,10896.110624161522,60,-30,1,0,0
CPueg7XHH8f6JK1cVs3bDvFimlhy7ULctJHBgLcR/zc=,27,4023,149.0,28.88888888888889,0,1,41,5.518518518518505,1.0,27.0,7.0,2014.0,5.0,11.0,1085.0,13723.0,20.901129353075444,4023108.5075996662,354.0,0.0915072873184261,656.5670783866032,11364.712977267054,51,-20,0,1,0
XRi3Zid45N91KQUwBkKTLlPfbblxCpaUX65HU5RbhPM=,12,1188,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,4.0,2.0,393.0,197.0,23.999984000010667,59986.77667236328,15.0,0.4558823417675897,8.208335385413532,3999.115778747033,60,-29,0,1,0
w0mDNWwyc/yTc/Uy0HZj2gcRytroGmVuFQ/x3RypicQ=,9,891,99.0,30.0,0,1,41,0.0,1.0,27.0,7.0,2016.0,7.0,16.0,288.0,3591.0,22.011694619199144,1152660.7306594849,171.0,0.1277419352091571,163.14047740163852,6740.705633055138,46,-15,0,1,0
zh/OD+X+Hf+xcU9lyrcmx3kTBwKcKOSZ2wx3Ut1/D20=,20,2981,149.05,28.65,2,1,39,7.450000000000017,12.0,25.0,3.0,2014.0,7.0,21.0,1014.0,3097.0,13.47211845828556,1139555.0613660812,269.0,0.3398416880565669,229.88201230335648,4236.264011165209,46,-13,0,1,0
5B3Mw47mDi+ZnonYfAC3SGHkTtZFDV/TDkGlQrFePEM=,22,3342,151.9090909090909,30.0,1,0,38,0.0,18.0,25.0,9.0,2012.0,10.0,6.0,1667.0,8873.0,24.511982036775997,3210643.7995090485,459.0,0.2764829028077579,361.9860836560163,6994.86651320345,39,-12,1,0,0
